id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3907329638312680","3907329638312680","1197161814","","1447063443","6588","5425","1098","【每年读书一百本】我很庆幸人生有三个阶段，每年阅读各类书籍超过一百本，那是我最快乐、成长最多、得到最多养分的时期。对于读书，我有“三做三不做”的建议，希望对大家有启发：1）多读不同意见的书；2）多读历史；3）要中西融会贯通；4）别读翻译劣质的书；5）少读纯理论的书；6）少读成功学的书；","【每年读书一百本】我很庆幸人生有三个阶段，每年阅读各类书籍超过一百本，那是我最快乐、成长最多、得到最多养分的时期。对于读书，我有“三做三不做”的建议，希望对大家有启发：1）多读不同意见的书；2）多读历史；3）要中西融会贯通；4）别读翻译劣质的书；5）少读纯理论的书；6）少读成功学的书；","1251448546","49969667","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww3.sinaimg.cn/large/475b3d56jw1extq3b19bhj20wt95zqv6.jpg",""
"3907329764244756","3907329764244756","1726084311","3907329638312680","1447063473","0","0","0","转发微博","转发微博","1270562758","14","3","4","376","54","小树上的春天","小树上的春天","博二兔不得一兔","m","34","2","","","-1","安徽 芜湖","http://tp4.sinaimg.cn/1726084311/180/5659011448/1","1","",""
"3907329781031442","3907329781031442","1791135627","3907329638312680","1447063476","0","0","0","转发微博","转发微博","1281407261","326","116","92","2022","333","Winnie__thepooh","Winnie__thepooh","所见不一定为实","m","33","11","","","220","浙江 丽水","http://tp4.sinaimg.cn/1791135627/180/5725350873/1","1","",""
"3907329776835073","3907329776835073","3030674337","3907329638312680","1447063476","0","0","0","转发微博","转发微博","1351154621","590","85","669","1884","728","林蜜蜜萌萌哒","林蜜蜜萌萌哒","愿你一生健康快乐！","f","46","1","","","220","海南 海口","http://tp2.sinaimg.cn/3030674337/180/5746753865/0","1","",""
"3907329802017930","3907329802017930","3194048267","3907329638312680","1447063482","0","0","0","转发微博","转发微博","1354980980","72","26","1","553","227","夏天-coming","夏天-coming","凡事，但求无愧！","m","41","3","","","-1","河南 洛阳","http://tp4.sinaimg.cn/3194048267/180/5746177399/1","1","",""
"3907329818592685","3907329818592685","1870231982","3907329638312680","1447063486","0","0","0","转发微博","转发微博","1289037159","322","101","73","1374","337","Juicy_ting","Juicy_ting","爱旅行，爱自由，爱美食，爱闹腾，爱帅哥，的腐女","f","32","2","","","220","江苏 无锡","http://tp3.sinaimg.cn/1870231982/180/5744098457/0","1","",""
"3907329852177099","3907329852177099","2309038327","3907329638312680","1447063494","0","0","0","转发微博","转发微博","1313634311","103","20","632","258","295","iseelily","iseelily","","f","51","1","","","-1","四川 成都","http://tp4.sinaimg.cn/2309038327/180/5638794631/0","1","",""
"3907329864507227","3907329864507227","2335228207","3907329638312680","1447063496","0","0","0","转发微博","转发微博","1360802473","5","1","119","391","213","V南辰","V南辰","","m","100","1000","","","-1","其他","http://tp4.sinaimg.cn/2335228207/180/5743356571/1","1","",""
"3907329885974168","3907329885974168","1681128520","3907329638312680","1447063502","0","0","0","多读历史[可爱]","多读历史[可爱]","1299294911","338","101","18","1573","454","YY在奋斗","YY在奋斗","简单 随性 烦恼最小化 快乐最大化","f","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/1681128520/180/5722565149/0","1","",""
"3907329911300456","3907329911300456","1991070740","3907329638312680","1447063508","0","0","0","转发微博","转发微博","1376098480","41","3","6","406","226","summer998800","summer998800","生你的生命，死你的死亡","f","46","90","","","-1","海南 其他","http://tp1.sinaimg.cn/1991070740/180/5738189288/0","1","",""
"3907329965467749","3907329965467749","2526366981","3907329638312680","1447063521","0","0","0","转发微博","转发微博","1323679808","49","6","17","846","219","2013一西","2013一西","","f","34","1","","","-1","安徽 合肥","http://tp2.sinaimg.cn/2526366981/180/5655092597/0","1","",""
"3907329970057326","3907329970057326","1401917714","3907329638312680","1447063522","0","0","0","转发微博","转发微博","1255523865","709","178","24","4741","471","天路客梅杰","天路客梅杰","古往今来天路上众多客之一","m","33","3","","","220","浙江 温州","http://tp3.sinaimg.cn/1401917714/180/40062297825/1","1","",""
"3907329986233585","3907329986233585","2562810123","3907329638312680","1447063525","17","26","0","先赞一个[赞]我还认为，中年以后应该多读读佛经！","先赞一个[赞]我还认为，中年以后应该多读读佛经！","1325413011","1515810","169","596","46388","393","1句实话","1句实话","加QQ 2531837073，请标注到访原因！","m","11","8","1","    北京大德圣火能源科技有限公司    副总经理  ","0","北京 海淀区","http://tp4.sinaimg.cn/2562810123/180/22889600175/1","","",""
"3907329986232648","3907329986232648","1809122951","3907329638312680","1447063525","0","0","0","转发微博","转发微博","1285180820","593","175","1072","4863","268","执信笃行","执信笃行","执诚信，笃善行","m","44","3","","","220","广东 深圳","http://tp4.sinaimg.cn/1809122951/180/5695286287/1","","",""
"3907329994849977","3907329994849977","2235420545","3907329638312680","1447063528","0","0","0","转发微博","转发微博","1310173538","428","34","879","4849","394","也许100","也许100","","f","33","4","","","-1","浙江 嘉兴","http://tp2.sinaimg.cn/2235420545/180/5710155322/0","1","",""
"3907329999433790","3907329999433790","2710053380","3907329638312680","1447063529","0","0","0","转发微博","转发微博","1328600305","42","0","0","397","96","jenny-葵","jenny-葵","","f","33","7","","","-1","浙江 金华","http://tp1.sinaimg.cn/2710053380/180/5698149839/0","1","",""
"3907329999047299","3907329999047299","3099358375","3907329638312680","1447063529","0","0","0","最后一条很重要。[good]","最后一条很重要。[good]","1352437542","251","41","1706","2383","288","贾小陇","贾小陇","读书，跑步，榨果汁。日拱一卒，功不唐捐。","m","62","5","","","-1","甘肃 天水","http://tp4.sinaimg.cn/3099358375/180/5746874026/1","1","",""
"3907330007219558","3907330007219558","5090170100","3907329638312680","1447063531","0","0","0","转发微博","转发微博","1396142051","185","21","1","1880","1533","奕宸的理想国","奕宸的理想国","话说过年回老家，除了找对象和生二胎，还能和长辈们聊些什么？ -_-||","m","41","3","","","-1","河南 洛阳","http://tp1.sinaimg.cn/5090170100/180/5736436377/1","1","",""
"3907330024614899","3907330024614899","2701092780","3907329638312680","1447063535","0","0","0","转发微博","转发微博","1328192276","77","21","61","4093","61","老树藤童趣","老树藤童趣","山高水长，寻寻觅觅，走走看看～","f","31","1000","","","-1","上海","http://tp1.sinaimg.cn/2701092780/180/5732240554/0","1","",""
"3907330024615150","3907330024615150","1595416581","3907329638312680","1447063535","0","0","0","学习","学习","1292461639","205","67","52","2584","442","拉面君也爱小笼包","拉面君也爱小笼包","Die Meister Die Besten Les grandes equipes The champions.","m","31","8","","","-1","上海 闸北区","http://tp2.sinaimg.cn/1595416581/180/5686989540/1","","",""
"3907330028205243","3907330028205243","1957576087","3907329638312680","1447063536","0","0","0","转发微博","转发微博","1297168189","48","11","63","851","80","灼灼I其华","灼灼I其华","便纵有千种风情 ，更与何人说！","f","37","15","","","-1","山东 聊城","http://tp4.sinaimg.cn/1957576087/180/5745415260/0","","",""
"3907330041019444","3907330041019444","3367995854","3907329638312680","1447063539","0","0","0","转发微博","转发微博","1368789996","212","5","1","9003","159","平理沟畔","平理沟畔","","m","100","1000","","","-1","其他","http://tp3.sinaimg.cn/3367995854/180/5725592607/1","1","",""
"3907330041399901","3907330041399901","2049722284","3907329638312680","1447063539","0","0","0","转发微博","转发微博","1301484575","676","190","1043","2584","1055","ink戴戴戴奋斗向前冲","ink戴戴戴奋斗向前冲","每天给自己一个希望……","m","36","1","","","220","江西 南昌","http://tp1.sinaimg.cn/2049722284/180/5737382806/1","1","",""
"3907330062004805","3907330062004805","1830790090","3907329638312680","1447063544","0","0","0","每天都有这样的坚持就好了","每天都有这样的坚持就好了","1285571664","132","70","2","371","1059","蓝思语","蓝思语","爱，就疯狂；不爱，就坚强。","f","34","8","","","-1","安徽 安庆","http://tp3.sinaimg.cn/1830790090/180/5601127734/0","1","",""
"3907330065978923","3907330065978923","2134989703","3907329638312680","1447063544","0","0","0","先转了再看吧…","先转了再看吧…","1305389683","465","168","5","354","292","落花生小叶","落花生小叶","嗨，你好！","f","33","4","","","-1","浙江 嘉兴","http://tp4.sinaimg.cn/2134989703/180/5734875244/0","","",""
"3907330070400315","3907330070400315","1921694957","3907329986233585","1447063546","0","0","0",""," //@1句实话:先赞一个[赞]我还认为，中年以后应该多读读佛经！","1295014390","1022","142","812","10245","1329","i微精选","i微精选","在扑面而来的信息中，精选出有利于全方位发展和提升、刻造出理想中自我的资源！","m","13","6","","","-1","河北 保定","http://tp2.sinaimg.cn/1921694957/180/5687675887/1","1","",""
"3907330091981021","3907330091981021","2249568402","3907329638312680","1447063551","0","0","0","Repost","Repost","1310744555","344","50","94","7930","303","MrDeadandGone","MrDeadandGone","啊啊啊啊啊啊","m","41","1","","","220","河南 郑州","http://tp3.sinaimg.cn/2249568402/180/40016166679/1","1","",""
"3907330099781791","3907330099781791","2001158544","3907329638312680","1447063553","0","1","13","今年的一百本还差三分之一[拜拜]马上又要到考试周了[拜拜]","今年的一百本还差三分之一[拜拜]马上又要到考试周了[拜拜]","1299992394","387","128","67","938","304","碳化木曜日","碳化木曜日","乘月光和清风","f","100","1000","","","-1","其他","http://tp1.sinaimg.cn/2001158544/180/5746072413/0","1","",""
