id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3845424706407626","3845424706407626","1197161814","","1432304157","5396","4856","1144","【十点半前睡眠最好】正常睡眠是由深睡眠和浅睡眠构成，只有深睡眠才是有效睡眠。人在夜间0–4点容易获得深睡眠，正常成年人在入睡60分钟后才会进入第一次深睡眠。因此，晚上十点半前开始进行睡前准备工作，如洗漱等，保证11点前入睡，1个小时后顺利进入深睡眠，才能保证良好的睡眠质量。 （来自网络）","【十点半前睡眠最好】正常睡眠是由深睡眠和浅睡眠构成，只有深睡眠才是有效睡眠。人在夜间0–4点容易获得深睡眠，正常成年人在入睡60分钟后才会进入第一次深睡眠。因此，晚上十点半前开始进行睡前准备工作，如洗漱等，保证11点前入睡，1个小时后顺利进入深睡眠，才能保证良好的睡眠质量。 （来自网络）","1251448546","49969709","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww3.sinaimg.cn/large/475b3d56jw1esde1dgyqyj207n053q2w.jpg",""
"3845424761154343","3845424761154343","1868521174","3845424706407626","1432304170","0","0","0","转发微博","转发微博","1303388385","88","5","2","5552","292","三友化工小股民600409","三友化工小股民600409","人在三友，投资三友，感恩三友.股水三千，只取一瓢。关注三友动态，分享投资喜悦。","m","13","2","","","-1","河北 唐山","http://tp3.sinaimg.cn/1868521174/180/5718148080/1","1","",""
"3845424773759554","3845424773759554","1780308517","3845424706407626","1432304173","0","0","0","[兔子]","[兔子]","1279637374","278","68","500","4256","279","py东子","py东子","明明只是喜欢何必夸张成爱？","m","44","6","","","-1","广东 佛山","http://tp2.sinaimg.cn/1780308517/180/40012019080/1","1","",""
"3845424786355628","3845424786355628","1687442645","3845424706407626","1432304175","0","0","0","转发微博","转发微博","1264772432","1132262","759","505","81998","2038","文秋实","文秋实","笔名：丘石","m","11","1000","1","著名书画家文秋实","0","北京","http://tp2.sinaimg.cn/1687442645/180/1277773564/1","1","",""
"3845424785956867","3845424785956867","2278676307","3845424706407626","1432304175","0","0","0","我要睡觉了～～～。","我要睡觉了～～～。","1312128217","163","31","4","204","106","ChancHanchAnchaN克","ChancHanchAnchaN克","","m","32","2","","","-1","江苏 无锡","http://tp4.sinaimg.cn/2278676307/180/5743269845/1","1","",""
"3845424794355981","3845424794355981","2486568423","3845424706407626","1432304176","0","0","0","转发微博","转发微博","1321976216","893","468","4890","16122","1675","W黄胖胖","W黄胖胖","2015不再懒惰","m","46","90","","","220","海南 其他","http://tp4.sinaimg.cn/2486568423/180/5743645358/1","1","",""
"3845424785462745","3845424785462745","2002661297","3845424706407626","1432304176","0","0","0","转发微博","转发微博","1299076353","315","55","206","2926","168","菲锬锬","菲锬锬","未来不迎，过往不恋，当下不杂","f","100","1000","","","-1","其他","http://tp2.sinaimg.cn/2002661297/180/5741412437/0","1","",""
"3845424794755553","3845424794755553","1884726684","3845424706407626","1432304177","0","0","0","转发微博","转发微博","1290904537","317","82","66","2181","243","小炅JJ","小炅JJ","Smile~","f","44","3","","","-1","广东 深圳","http://tp1.sinaimg.cn/1884726684/180/5606477038/0","","",""
"3845424815354668","3845424815354668","1869631052","3845424706407626","1432304182","0","0","0","@暖暖哒o0 ","@暖暖哒o0 ","1288959622","2064","6","198","712","73","山东蓝翔技校老班长","山东蓝翔技校老班长","挖掘机操作2013春季班-班长，优秀学员","m","37","6","","","-1","山东 烟台","http://tp1.sinaimg.cn/1869631052/180/5675674843/1","1","",""
"3845424815355966","3845424815355966","1146309937","3845424706407626","1432304183","0","0","0","转发微博","转发微博","1305866089","346","119","0","1540","706","hehe慊人","hehe慊人","用心甘情愿的态度，过随遇而安的生活。","f","32","10","","","220","江苏 扬州","http://tp2.sinaimg.cn/1146309937/180/5741959257/0","1","",""
