id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3923540958915434","3923540958915434","1197161814","","1450928523","4502","2816","402","【沟通的三个坏习惯】1）拐弯抹角，打太极拳。这种沟通会模糊你的要点，让听者不知所云，易造成不必要的误会。2）当面不说，背后批评。这种不当面表达，选择在背后指手画脚的沟通，只会破坏彼此关系和信任。3）三角沟通。甲乙不直接沟通，丙成为中间诠释者，可能因为理解或者表达错误，造成更深误会。","【沟通的三个坏习惯】1）拐弯抹角，打太极拳。这种沟通会模糊你的要点，让听者不知所云，易造成不必要的误会。2）当面不说，背后批评。这种不当面表达，选择在背后指手画脚的沟通，只会破坏彼此关系和信任。3）三角沟通。甲乙不直接沟通，丙成为中间诠释者，可能因为理解或者表达错误，造成更深误会。","1251448546","49969695","527","890","14560","524","李开复","李开复","创新工场CEO，媒体联系：press@chuangxin.com","m","11","1","1","创新工场董事长兼首席执行官","0","北京 东城区","http://tp3.sinaimg.cn/1197161814/180/1290146312/1","","http://ww2.sinaimg.cn/large/475b3d56jw1ez9mrj2kxlj20kv0b140g.jpg",""
"3923541038357218","3923541038357218","1202127322","3923540958915434","1450928542","0","0","0","[挤眼]","[挤眼]","1304598790","604","386","3005","18699","1781","绿色的小叶","绿色的小叶","国安是冠军","m","11","5","","","220","北京 朝阳区","http://tp3.sinaimg.cn/1202127322/180/5741181184/1","","",""
"3923541047385875","3923541047385875","1733873701","3923540958915434","1450928543","0","0","0","转发微博","转发微博","1272067913","311","57","15","1426","255","lakoo","lakoo","","m","31","1000","1","上海世贝材料科技有限公司  副总经理","0","上海","http://tp2.sinaimg.cn/1733873701/180/5722781779/1","","",""
"3923541055460254","3923541055460254","3312342451","3923540958915434","1450928546","0","0","0","转发微博","转发微博","1366297961","77","16","8","710","355","Chic刘小美","Chic刘小美","爱。是全部。","f","11","5","","","-1","北京 朝阳区","http://tp4.sinaimg.cn/3312342451/180/5716630976/0","1","",""
"3923541059657063","3923541059657063","3498333377","3923540958915434","1450928547","0","0","0","转发微博","转发微博","1369715439","119","18","416","1518","87","翙央央","翙央央","啥都不懂","f","50","12","","","-1","重庆 渝北区","http://tp2.sinaimg.cn/3498333377/180/5749050735/0","1","",""
"3923541068372880","3923541068372880","5662463668","3923540958915434","1450928548","0","0","0","转发微博","转发微博","1437961007","27","7","5","2159","192","贱男是怎么炼成的","贱男是怎么炼成的","已婚","m","33","2","","","-1","浙江 宁波","http://tp1.sinaimg.cn/5662463668/180/0/1","1","",""
"3923541071937511","3923541071937511","2704547884","3923540958915434","1450928550","0","0","0","转发微博","转发微博","1328351641","452","95","3114","26316","1797","卢彤旭-LT","卢彤旭-LT","同一个世界，同一个梦想，让我们同心协力，活得潇潇洒洒，爱潜水、爱摄影，关注国防，喜欢历史，爱看电视剧。","m","32","4","","","220","江苏 常州","http://tp1.sinaimg.cn/2704547884/180/5678792261/1","1","",""
"3923541089036153","3923541089036153","1664662084","3923540958915434","1450928553","0","0","0","转发微博","转发微博","1278472176","229","25","24","7048","404","吕-世雄","吕-世雄","我可以帮助你呼吸好的空气，喝最好的水，用低温免水煮食的锅。","m","14","23","","","-1","山西 吕梁","http://tp1.sinaimg.cn/1664662084/180/1278472375/1","1","",""
"3923541101953485","3923541101953485","5173241357","3923540958915434","1450928557","0","0","0","转发微博","转发微博","1402281589","62","43","2","95","129","喔SleepAlone","喔SleepAlone","就是一片灰吧","m","34","10","","","-1","安徽 黄山","http://tp2.sinaimg.cn/5173241357/180/5748968620/1","1","",""
"3923541106151709","3923541106151709","1700858552","3923540958915434","1450928558","0","1","0","@南珂呦 @慕道远来 @DD阳宝 @文轩MatSuo ","@南珂呦 @慕道远来 @DD阳宝 @文轩MatSuo ","1267182402","464","138","39","1988","2000","ssss123456_2ce","ssss123456_2ce","","m","44","1","","","-1","广东 广州","http://tp1.sinaimg.cn/1700858552/180/1279888510/1","1","",""
"3923541110023818","3923541110023818","3249083795","3923540958915434","1450928559","0","0","0","转发微博","转发微博","1364002186","47","4","5","203","182","Gdffcgc","Gdffcgc","","f","50","7","","","-1","重庆 九龙坡区","http://tp4.sinaimg.cn/3249083795/180/5726009275/0","1","",""
"3923541113910969","3923541113910969","1893530234","3923540958915434","1450928560","0","0","0","转发微博","转发微博","1292251496","122","30","8","54","115","凡夫俗子的平凡之路","凡夫俗子的平凡之路","","f","31","10","","","-1","上海 杨浦区","http://tp3.sinaimg.cn/1893530234/180/5734790259/0","1","",""
"3923541114318010","3923541114318010","2461920477","3923540958915434","1450928560","0","0","0","转发微博","转发微博","1321107147","49","21","1","168","144","yccgyy-遥","yccgyy-遥","","f","41","3","","","-1","河南 洛阳","http://tp2.sinaimg.cn/2461920477/180/5616074643/0","1","",""
"3923541122351720","3923541122351720","2104816315","3923540958915434","1450928561","0","0","0","转发微博","转发微博","1303711244","113","11","4","1237","305","倚窗聽雨k","倚窗聽雨k","只有努力、才有明天！","m","32","5","","","-1","江苏 苏州","http://tp4.sinaimg.cn/2104816315/180/5608114648/1","1","",""
"3923541126504137","3923541126504137","2498877243","3923540958915434","1450928563","1","0","0","转发微博","转发微博","1322535573","333","166","3","705","325","三博口腔--快乐伯乐","三博口腔--快乐伯乐","我希望我成为一个快乐的牙科伯乐","f","13","1","","","-1","河北 石家庄","http://tp4.sinaimg.cn/2498877243/180/5617504062/0","1","",""
"3923541130748567","3923541130748567","1855227810","3923540958915434","1450928564","0","0","0","转发微博","转发微博","1287127201","60","6","3","1875","86","大学弃招生","大学弃招生","","m","14","4","","","-1","山西 长治","http://tp3.sinaimg.cn/1855227810/180/5720056738/1","1","",""
"3923541155929848","3923541155929848","1761054690","3923540958915434","1450928569","0","0","0","转发微博","转发微博","1276333222","339","135","53","1579","352","谢谢谢xihong","谢谢谢xihong","","m","44","19","","","220","广东 东莞","http://tp3.sinaimg.cn/1761054690/180/40056124553/1","1","",""
"3923541151687333","3923541151687333","1681602187","3923540958915434","1450928569","1","0","1","转发微博","转发微博","1263391878","1457","425","481","4175","1764","华允峰","华允峰","朝花夕拾，老杜红酒，原产茗茶。微信电话:13455178366","m","37","1","1","前济南澳克家具有限公司  北京直营经理 微电商达人","0","山东 济南","http://tp4.sinaimg.cn/1681602187/180/22889404302/1","1","",""
"3923541151688806","3923541151688806","2598705752","3923540958915434","1450928569","0","0","0","转发微博","转发微博","1323445345","157","84","59","249","319","Medico-Lee","Medico-Lee","have a little faith……","m","41","1","","","-1","河南 郑州","http://tp1.sinaimg.cn/2598705752/180/5731242633/1","1","",""
"3923541155930138","3923541155930138","1966428653","3923540958915434","1450928570","0","0","0","我觉得说的很对","我觉得说的很对","1297577117","130","19","4","1093","199","给力咯噔","给力咯噔","在平淡中创造激情，在激情里寻找安稳，在安稳里摸索自我。我就是我，我只是我。","f","50","3","","","-1","重庆 渝中区","http://tp2.sinaimg.cn/1966428653/180/5636206098/0","1","",""
"3923541160081645","3923541160081645","1171516225","3923540958915434","1450928571","0","2","0","转发微博","转发微博","1319273743","101","58","3","819","161","电驴青年于海清","电驴青年于海清","北京壹零玖柒文化传播有限公司 扫地的","m","11","7","1","北京壹零玖柒文化传播有限公司签约作家","0","北京 石景山区","http://tp2.sinaimg.cn/1171516225/180/5745664241/1","1","",""
"3923541198493298","3923541198493298","1101091022","3923540958915434","1450928580","0","0","0","转发微博","转发微博","1293631469","37","4","72","273","85","细语细雨天","细语细雨天","为了她，成为一个更好的人。","m","51","1","","","-1","四川 成都","http://tp3.sinaimg.cn/1101091022/180/0/1","1","",""
"3923541210189868","3923541210189868","1741172522","3923540958915434","1450928583","0","0","0","转发微博","转发微博","1273746464","286","98","234","2691","214","文焕MMM","文焕MMM","程序员、数学、机器学习爱好者。","m","32","1","","","-1","江苏 南京","http://tp3.sinaimg.cn/1741172522/180/5703403289/1","1","",""
"3923541210494979","3923541210494979","1920369401","3923540958915434","1450928583","0","0","0","转发微博","转发微博","1294929277","1720","808","3","4961","1146","贺红波2011","贺红波2011","沉默替代回答……","m","11","5","","","220","北京 朝阳区","http://tp2.sinaimg.cn/1920369401/180/5746955023/1","1","",""
"3923541214388874","3923541214388874","2723112754","3923540958915434","1450928584","0","0","0","这个有道理","这个有道理","1329876288","398","70","108","21765","1980","Sperturbed--","Sperturbed--","见贤思齐，见不贤而内自省","m","61","1","","","-1","陕西 西安","http://tp3.sinaimg.cn/2723112754/180/5624844388/1","1","",""
"3923541214694344","3923541214694344","1852758585","3923540958915434","1450928584","0","0","0","转发微博","转发微博","1289291632","48","5","9","2408","511","离家的人啊","离家的人啊","","m","42","1","","","-1","湖北 武汉","http://tp2.sinaimg.cn/1852758585/180/0/1","1","",""
"3923541219257551","3923541219257551","1766783482","3923540958915434","1450928585","0","0","0","Repost","Repost","1277528819","945","284","88","2966","454","放克谢","放克谢","相忘于江湖，却怀念到哭泣。","m","36","7","","","220","江西 赣州","http://tp3.sinaimg.cn/1766783482/180/5680104030/1","1","",""
