id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"3931608932964216","3931608932964216","1402875513","","1452852078","603","587","431","我收到了携程的道歉 今天携程机票CEO熊星先生 代表携程董事长@携程梁建章 先生 在北京当面道歉 我将于下周赴日和航空公司接洽消除负面记录 挽回我的名誉 并 告知我的合作伙伴此次处理结果！http://t.cn/R4lbS9u","我收到了携程的道歉 今天携程机票CEO熊星先生 代表携程董事长@携程梁建章 先生 在北京当面道歉 我将于下周赴日和航空公司接洽消除负面记录 挽回我的名誉 并 告知我的合作伙伴此次处理结果！http://t.cn/R4lbS9u","1251523210","61831","2164","429","17095","3052","ttdz","ttdz","VINTAGE 爱好者 移动互联网 数码产品 网游 客户端 苹果 市场 运营 产品；旅行 摄影 汽车 军品 电影 ACG 古美术刀剑收藏 尽我所能帮大家解答","m","400","16","1","资深游戏人，开发、移植、本地化多款游戏 。（CS、文明、杀手代号47、丁丁历险记等）","0","海外 其他","http://tp2.sinaimg.cn/1402875513/180/1251523307/1","1","http://ww4.sinaimg.cn/large/539e2e79jw1f00c5cxocxj20m80b9myp.jpg",""
"3931609386207130","3931609386207130","1757115045","3931608932964216","1452852186","3","0","0","携程终于飞过北京来谢罪了!","携程终于飞过北京来谢罪了!","1276330046","8160","1257","1095","20932","1486","山楂大个元宵","山楂大个元宵","山楂大个元宵","m","11","1","1","北京候鸟旅游景观规划设计院摄影师，原中青旅日韩总经理詹建军","0","北京 东城区","http://tp2.sinaimg.cn/1757115045/180/5611984370/1","1","",""
"3931609482434042","3931609482434042","1400582340","3931608932964216","1452852209","6","4","2","辣鸡公关，要是我第一时间飞过去道歉，先从自己账上打钱赔偿你，这么简单的事儿搞成这样","辣鸡公关，要是我第一时间飞过去道歉，先从自己账上打钱赔偿你，这么简单的事儿搞成这样","1251447280","98826","2006","9","20077","2054","王世颖","王世颖","贝勒王，蓝港互动副总裁，做游戏+写书的。汉奸美分蜾粉棒粉轮子luli蝗汉日杂放生废死圣母婊科学邪教中医黑勿近，谢绝内务府门前卖阉炎药","f","11","8","1","著名游戏制作人，参与制作《仙剑奇侠传三》等 微博签约自媒体","0","北京 海淀区","http://tp1.sinaimg.cn/1400582340/180/5670510373/0","","",""
"3931609713599383","3931609713599383","1663689892","3931608932964216","1452852263","0","0","0","转发微博","转发微博","1259133292","714","102","11","8797","529","小管管不了了","小管管不了了","三千世界 轰华绚烂 森罗万象 流光千乱","m","32","1","","","220","江苏 南京","http://tp1.sinaimg.cn/1663689892/180/40071482587/1","","",""
"3931609767903317","3931609767903317","1683298872","3931608932964216","1452852277","0","0","0","他们就怕大新闻[doge]","他们就怕大新闻[doge]","1282816187","3432","333","37","14201","1667","Onetaway","Onetaway","用代码写段子","m","32","1","","","-1","江苏 南京","http://tp1.sinaimg.cn/1683298872/180/5726134499/1","1","",""
"3931609843163853","3931609843163853","1080236157","3931608932964216","1452852294","63","10","4","终于，虽然慢好歹有结果了。","终于，虽然慢好歹有结果了。","1281352051","33074","94","5","11381","104","赤军","赤军","疑天霓向愚尘落，是赤心于白雪标。","m","11","1000","1","作家，已出版著作：《洗烽录》、《风云信长传》、《七武士》、《毁灭与新生》、《中国宰相的非正常死亡》、《宛如梦幻》、《西辽帝国》、《北京镜鉴记》等。","0","北京","http://tp2.sinaimg.cn/1080236157/180/22867657392/1","","",""
"3931609889622006","3931609889622006","1751228205","3931608932964216","1452852306","0","0","1","哥们儿 谢谢你的维权 携程在很久很久以前 还是好使的 希望通过这件事 他们能一往如前","哥们儿 谢谢你的维权 携程在很久很久以前 还是好使的 希望通过这件事 他们能一往如前","1276428825","1154","249","18","10615","493","一勺酱油三勺糖","一勺酱油三勺糖","孤独的美食家","f","11","1","","","-1","北京 东城区","http://tp2.sinaimg.cn/1751228205/180/5702908415/0","1","",""
"3931609901937823","3931609901937823","1632092214","3931609482434042","1452852309","0","0","0","没办法，真诚是装不出来的！","没办法，真诚是装不出来的！//@王世颖: 辣鸡公关，要是我第一时间飞过去道歉，先从自己账上打钱赔偿你，这么简单的事儿搞成这样","1255759888","3539","746","496","6982","1163","缘飞日月","缘飞日月","TCL多媒体用户体验总监，专注互联网、移动互联网和智能终端的体验设计，极客公园产品观察家！","m","44","3","1","TCL多媒体用户体验 总监","0","广东 深圳","http://tp3.sinaimg.cn/1632092214/180/5611039267/1","1","",""
"3931610062153117","3931610062153117","1073099834","3931608932964216","1452852347","1","1","2","这也就是看事情太大条无法控制了","这也就是看事情太大条无法控制了","1297399449","7419","422","81","5572","700","孙昊崙","孙昊崙","有很多需要做、有很多要實現。我相信不論怎樣的人生，我們都要有追求幸福的力量。","m","11","6","1","机核网市场总监、GADIO主播","0","北京 丰台区","http://tp3.sinaimg.cn/1073099834/180/5640755778/1","1","",""
"3931610120618562","3931610120618562","1785523514","3931608932964216","1452852361","0","0","0","咋了向你道歉","咋了向你道歉","1283187414","512","16","1","4414","224","苌小落","苌小落","","f","400","1","","","-1","海外 美国","http://tp3.sinaimg.cn/1785523514/180/5670936987/0","1","",""
"3931610133214440","3931610133214440","2403741165","3931608932964216","1452852364","0","0","0","转发微博","转发微博","1318181138","387","73","2","2308","457","无脑六","无脑六","电子音乐拯救世界","m","31","4","","","-1","上海 徐汇区","http://tp2.sinaimg.cn/2403741165/180/5746021708/1","1","",""
"3931610325676406","3931610325676406","1658187530","3931609843163853","1452852409","9","8","3","如果不是TTDZ努力维权，估计这事也就不了了之了！","如果不是TTDZ努力维权，估计这事也就不了了之了！//@赤军: 终于，虽然慢好歹有结果了。","1257222188","1087243","1829","78","31794","3571","老刀99","老刀99","WX号：laodao9299 游戏行业从业人员，《魔兽世界》舅舅党，新疆大V，关爱萌妹三十年，商务合作请加QQQQ：3021828538","m","31","1000","1","知名游戏人 微博签约自媒体","0","上海","http://tp3.sinaimg.cn/1658187530/180/5718201912/1","","",""
"3931610321480523","3931610321480523","2149402552","3931608932964216","1452852409","0","0","0","又是在朝阳公园南门道歉的吗。@ttdz [熊猫]","又是在朝阳公园南门道歉的吗。@ttdz [熊猫]","1306650882","152","32","13","1434","1351","奋发赶超小青年","奋发赶超小青年","承蒙你爱。","m","11","8","","","-1","北京 海淀区","http://tp1.sinaimg.cn/2149402552/180/5729777699/1","1","",""
"3931610384680805","3931610384680805","1606020403","3931609843163853","1452852423","0","0","0","恭喜PO主得还以清白","恭喜PO主得还以清白//@赤军:终于，虽然慢好歹有结果了。","1271516062","1284","79","481","18913","223","加班大王汤圆子","加班大王汤圆子","我有个毛病，就是随地吐槽，大概是到死也改不掉的了。","f","53","25","","","220","云南 红河","http://tp4.sinaimg.cn/1606020403/180/5739722199/0","","",""
"3931610410308393","3931610410308393","1747644390","3931608932964216","1452852430","0","0","0","终于道歉了","终于道歉了","1274971395","168","75","13","2767","158","JudaHLoWe","JudaHLoWe","已经变得容易情绪化 其实潜藏着中二的心 如何取得中二与正常人的平衡点 这是一辈子一个恒久的命题","m","44","1","","","-1","广东 广州","http://tp3.sinaimg.cn/1747644390/180/5692198734/1","1","",""
"3931610451588336","3931610451588336","1676789134","3931608932964216","1452852439","0","0","0","祝圆满解决","祝圆满解决","1262179765","4346","269","43","5114","437","_京华_","_京华_","希望能安稳过完一辈子的中年屌丝。","m","31","15","","","-1","上海 浦东新区","http://tp3.sinaimg.cn/1676789134/180/5738763286/1","1","",""
